"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"CLN3",2.81551465990343e-08,0.624463067984965,0.82,0.614,0.000422693215891301,"Significant"
"TGM2",2.9692093761513e-08,0.79356366309323,0.788,0.665,0.000445767403641595,"Significant"
"HS3ST3B1",2.96998075551516e-08,2.50427051871555,0.184,0.034,0.00044588321082549,"Significant"
"PHF2",2.98631255177017e-08,0.54801632593142,0.976,0.858,0.000448335103397255,"Significant"
"FHL2",3.11804802257124e-08,1.41948181176354,0.411,0.258,0.00046811254962862,"Significant"
"ZNFX1",3.16543284005671e-08,0.648793647039775,0.871,0.708,0.000475226432277714,"Significant"
"MCAM",3.18835780757485e-08,0.781189050296742,0.961,0.828,0.000478668157651213,"Significant"
"CD2",3.26621936040215e-08,2.53426525901339,0.19,0.039,0.000490357512577175,"Significant"
"DOCK9",3.30306764444461e-08,0.673509121743096,0.755,0.528,0.000495889545460469,"Significant"
"TNRC6B",3.56435841081217e-08,0.597539433864106,0.895,0.708,0.000535117128215231,"Significant"
"NOTCH1",3.60929297353493e-08,0.570015283962589,0.928,0.742,0.000541863154116799,"Significant"
"KXD1",3.61390950557774e-08,0.434439683916056,0.993,0.961,0.000542556234072386,"Significant"
"TSPAN14",3.65780386315519e-08,0.544107876844638,0.969,0.837,0.000549146093975489,"Significant"
"HNRNPA0",3.66534908043844e-08,0.300005615818951,1,1,0.000550278857446223,"Significant"
"LILRB2",3.69032130631602e-08,1.74621089291472,0.311,0.129,0.000554027937717224,"Significant"
"PSIP1",3.86626046954112e-08,0.720419009734925,0.79,0.605,0.000580441684292208,"Significant"
"STAG1",4.10276725556265e-08,0.599076669002504,0.867,0.657,0.000615948448077621,"Significant"
"LST1",4.16830383681781e-08,1.71384459681086,0.401,0.266,0.000625787455021458,"Significant"
"RBM33",4.18981203742695e-08,0.349762854952694,0.998,0.991,0.000629016481178908,"Significant"
"ARID5A",4.32337086605548e-08,1.7526828901845,0.405,0.275,0.000649067668120909,"Significant"
"VPS26C",4.52382799100286e-08,0.565709428337104,0.932,0.734,0.000679162296289259,"Significant"
"ZFAND2B",4.60689808540111e-08,0.587431151465775,0.913,0.7,0.000691633609561268,"Significant"
"SCARB2",4.8242389703648e-08,0.453652538738862,0.969,0.807,0.000724262996620867,"Significant"
"TMEM43",4.92934465482876e-08,0.553496349433591,0.934,0.725,0.000740042513029442,"Significant"
"EIF4E3",5.40102621847482e-08,1.74621089291472,0.256,0.086,0.000810856066179625,"Significant"
"NDFIP1",5.52382300823824e-08,0.539207459367862,0.923,0.695,0.000829291548226807,"Significant"
"IL16",5.56697383118676e-08,1.77937775684992,0.309,0.133,0.000835769781276069,"Significant"
"MVP",5.63313871131002e-08,0.466535490721035,0.991,0.897,0.000845703114728973,"Significant"
"DENND11",5.74031969828834e-08,0.456361246187892,0.991,0.927,0.000861794196304028,"Significant"
"SERPINF2",5.74690982449525e-08,0.515915188068661,0.926,0.7,0.000862783571951472,"Significant"
"DPT",5.86313937047016e-08,1.39024212101383,0.427,0.288,0.000880233113688686,"Significant"
"CCL19",5.87472536068801e-08,3.02264890786228,0.262,0.103,0.000881972518400091,"Significant"
"KCNMA1",5.88567524281901e-08,1.90039315781128,0.313,0.15,0.000883616424204418,"Significant"
"PLEKHO2",5.93100535043735e-08,1.20540111691565,0.56,0.468,0.000890421833261159,"Significant"
"ADAR",6.05737831098553e-08,0.318690152355912,1,1,0.000909394205828258,"Significant"
"VWA1",6.19783793334626e-08,0.62227679576519,0.958,0.803,0.000930481408933274,"Significant"
"SNX19",6.35542701906134e-08,0.65987066239383,0.816,0.639,0.000954140258371679,"Significant"
"LPXN",6.38572225486265e-08,1.04414097660046,0.576,0.451,0.000958688482122529,"Significant"
"IPCEF1",6.49919028788777e-08,2.94930275829223,0.157,0.021,0.000975723437920591,"Significant"
"CTSK",6.50074010569112e-08,0.924251386236864,0.68,0.588,0.000975956112067408,"Significant"
"PBXIP1",6.6354734165517e-08,0.564906316454344,0.924,0.738,0.000996183624026907,"Significant"
"SAMD4A",6.83403802765674e-08,1.54778639866701,0.363,0.206,0.00102599412909211,"Significant"
"CSF1",6.87017961299812e-08,1.54285786952944,0.368,0.215,0.00103142006529941,"Significant"
