"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"TOMM70",6.78618699666622e-10,-0.96992617187953,0.208,0.433,1.0188102538095e-05,"Significant"
"PLIN5",6.91616444763376e-10,-2.30808508440042,0.024,0.137,1.03832376852326e-05,"Significant"
"DHX57",6.92562622266826e-10,-1.60591239903487,0.085,0.249,1.03974426480919e-05,"Significant"
"FARS2",6.95651031270811e-10,-0.898694148262719,0.114,0.318,1.04438089324687e-05,"Significant"
"WNK2",6.97624305056682e-10,-1.03717610205415,0.07,0.227,1.0473433691816e-05,"Significant"
"NUDC",6.99029439268723e-10,-0.260995382574058,1,0.996,1.04945289717413e-05,"Significant"
"PSMC1",7.07589744423524e-10,-0.922717377469235,0.155,0.378,1.06230448330304e-05,"Significant"
"CBX3",7.0829913828979e-10,-0.995555687515308,0.105,0.296,1.06336949631446e-05,"Significant"
"DHRS4",7.14121055092765e-10,-1.64285524383313,0.088,0.253,1.07210994001077e-05,"Significant"
"CENPM",7.23524255529934e-10,-0.844864731533049,0.414,0.631,1.08622696482709e-05,"Significant"
"RDH11",7.23832333359729e-10,-0.321413988543495,1,0.979,1.08668948207296e-05,"Significant"
"TSPAN6",7.31202144666022e-10,-1.10959093076134,0.092,0.275,1.0977537797871e-05,"Significant"
"RNFT1",7.34135246683397e-10,-0.428939479274806,0.884,0.893,1.10215724584578e-05,"Significant"
"CYP21A2",7.44939683054927e-10,-0.691802820466459,0.175,0.416,1.11837794617036e-05,"Significant"
"AHI1",7.51130622186373e-10,-0.821352059729554,0.192,0.438,1.1276724030884e-05,"Significant"
"RABL3",7.51363671874442e-10,-1.0630809661636,0.103,0.292,1.1280222805851e-05,"Significant"
"CCT3",7.53741608728806e-10,-0.507313157980902,0.902,0.867,1.13159227718456e-05,"Significant"
"KRT7",7.63408630245027e-10,-0.259096390964717,0.18,0.425,1.14610537658686e-05,"Significant"
"LIN9",7.6345848107351e-10,-1.9943463873264,0.055,0.197,1.14618021763566e-05,"Significant"
"KRBOX1",7.69067131445295e-10,-1.20176321589877,0.092,0.27,1.15460048443882e-05,"Significant"
"PTBP2",7.7441921437798e-10,-0.818075688054435,0.131,0.343,1.16263556654566e-05,"Significant"
"GOLGA8B",7.88039832498564e-10,-0.892817581926049,0.145,0.365,1.18308420053009e-05,"Significant"
"WARS2",7.94880127601438e-10,-0.981615107962737,0.145,0.361,1.19335353556804e-05,"Significant"
"MCU",8.1072737222409e-10,-0.822537877152435,0.147,0.373,1.21714500392003e-05,"Significant"
"RAB22A",8.16108123768023e-10,-0.782501130758196,0.18,0.421,1.22522312621293e-05,"Significant"
"ANKRD18A",8.19206777358047e-10,-0.752549981549369,0.435,0.657,1.22987513484764e-05,"Significant"
"KRT10",8.21661986952156e-10,-0.845113108057875,0.155,0.382,1.23356114101127e-05,"Significant"
"ZNF473",8.26790589533579e-10,-0.808724451401805,0.16,0.386,1.24126071206676e-05,"Significant"
"ZNF772",8.42711073675243e-10,-1.58675014194798,0.072,0.227,1.26516213490864e-05,"Significant"
"UAP1",8.5022475321265e-10,-0.425673464877466,0.956,0.94,1.27644242199815e-05,"Significant"
"HMG20B",8.50267166249679e-10,-0.300780418271039,1,1,1.27650609669064e-05,"Significant"
"ALG3",8.55176974628716e-10,-0.416363536396531,0.974,0.953,1.28387719201009e-05,"Significant"
"SLC30A6",8.59614132472929e-10,-2.29101157104148,0.035,0.159,1.29053869708161e-05,"Significant"
"CHTF18",8.75676378199798e-10,-0.516466208733977,0.888,0.85,1.31465294659136e-05,"Significant"
"PHF12",8.77679240725281e-10,-0.353710476412022,0.983,0.966,1.31765984410086e-05,"Significant"
"SNAP29",8.7813051930551e-10,-0.318419298428329,0.989,0.987,1.31833734863336e-05,"Significant"
"SUV39H1",8.8663836979157e-10,-0.901162403853469,0.164,0.391,1.33111018456808e-05,"Significant"
"ADPRHL1",8.88873645179072e-10,-0.836779365474832,0.33,0.558,1.33446600350734e-05,"Significant"
"EPB41L5",8.95693538436689e-10,-0.622138602775306,0.722,0.764,1.344704709255e-05,"Significant"
"NUDT16L1",8.97200209207612e-10,-0.466492260059354,0.947,0.948,1.34696667408339e-05,"Significant"
"CSE1L",8.99979134319717e-10,-1.25961637476595,0.094,0.27,1.35113867435419e-05,"Significant"
"AURKB",9.14180893556265e-10,-0.955650033074795,0.411,0.609,1.37245977549602e-05,"Significant"
"RAB9A",9.16146131609485e-10,-0.805584743871238,0.182,0.425,1.37541018738532e-05,"Significant"
"CCT6A",9.26734915138327e-10,-0.402748337754047,0.982,0.996,1.39130712809717e-05,"Significant"
"ZNF692",9.39073673949462e-10,-0.382373313146694,0.969,0.948,1.40983130670033e-05,"Significant"
"SYTL2",9.39658039842627e-10,-0.361156395069757,0.991,0.991,1.41070861521574e-05,"Significant"
